Gene	Num
LRRTM4	1
SPIN3	1
AVL9	1
C1orf168	1
SLC25A52	1
ACSM2A	1
STAG3	1
TMED9	1
C10orf76	1
KIAA1958	1
HNRNPF	1
RPS10-NUDT3	1
BRCA2	1
ASB11	1
SF3B3	1
MARCH6	1
MEPE	1
ZNF502	1
AOAH	1
FAHD2B	1
USP48	1
ZMAT1	1
SLC35F3	1
GPR50	1
R3HDM1	1
TCAF1	1
DSG3	1
CPNE3	1
ZPBP	1
GZMB	1
RPL29	1
ZNF83	1
WRN	1
ACSF3	1
TBX2	1
ITPR1	1
ATP2A2	1
SF3A3	1
EVC	1
HPS5	1
BNC2	1
TCAF2	1
C9orf131	1
GML	1
TSPAN2	1
NLRP5	1
NBEA	1
ZBED4	1
MDN1	1
KLB	1
OR10G3	1
TRIM38	1
CNOT1	1
AP2B1	1
CSNK2B-LY6G5B--991	1
LDHB	1
CCDC141	1
GPR15	1
ULK2	1
MAU2	1
EVPL	1
IMPG1	1
DIXDC1	1
MTO1	1
BRCA1	1
LRP1B	1
BTN1A1	1
ZNF611	1
TTLL7	1
OPRM1	1
DDX23	1
ABCC8	1
TUBB4A	1
IQSEC2	1
